,barrios_hecho,conducta,quantity
472,VILLA MARIA I,LESIONES PERSONALES,23
473,VILLA MARIA I,VIOLENCIA INTRAFAMILIAR,27
474,VILLA MARIA III,VIOLENCIA INTRAFAMILIAR,1
475,VILLA MERCEDES,DELITOS SEXUALES O PROSTITUCION,20
476,VILLA MERCEDES,HURTO,141
477,VILLA MERCEDES,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),135
478,VILLA MERCEDES,LESIONES PERSONALES,139
479,VILLA MERCEDES,OTROS,23
480,VILLA MERCEDES,VIOLENCIA INTRAFAMILIAR,58
481,VILLA ROSA,DELITOS SEXUALES O PROSTITUCION,36
482,VILLA ROSA,HURTO,440
483,VILLA ROSA,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),52
484,VILLA ROSA,LESIONES PERSONALES,286
485,VILLA ROSA,OTROS,40
486,VILLA ROSA,VIOLENCIA INTRAFAMILIAR,279
487,VILLAS DE GIRARDOT,DELITOS SEXUALES O PROSTITUCION,17
488,VILLAS DE GIRARDOT,HURTO,22
489,VILLAS DE GIRARDOT,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1
490,VILLAS DE GIRARDOT,LESIONES PERSONALES,59
491,VILLAS DE GIRARDOT,OTROS,10
492,VILLAS DE GIRARDOT,VIOLENCIA INTRAFAMILIAR,50
493,ZARABANDA,DELITOS SEXUALES O PROSTITUCION,15
494,ZARABANDA,HURTO,54
495,ZARABANDA,LESIONES PERSONALES,62
496,ZARABANDA,OTROS,18
497,ZARABANDA,VIOLENCIA INTRAFAMILIAR,57
