barrios_hecho,ano,quantity
ZARABANDA,2011,12
ZARABANDA,2012,11
ZARABANDA,2013,22
ZARABANDA,2014,26
ZARABANDA,2015,12
ZARABANDA,2016,14
ZARABANDA,2017,20
ZARABANDA,2018,13
ZARABANDA,2019,22
ZARABANDA,2020,18
ZARABANDA,2021,13
