barrios_hecho,ano,quantity
CLAVERIANO,2016,49
CLAVERIANO,2017,16
CLAVERIANO,2018,31
CLAVERIANO,2019,17
CLAVERIANO,2020,15
CLAVERIANO,2021,29
COLORADOS,2010,60
COLORADOS,2011,69
COLORADOS,2012,102
COLORADOS,2013,88
COLORADOS,2014,115
COLORADOS,2015,87
COLORADOS,2016,102
COLORADOS,2017,132
COLORADOS,2018,153
COLORADOS,2019,111
COLORADOS,2020,91
COLORADOS,2021,110
COMUNEROS,2010,130
COMUNEROS,2011,159
COMUNEROS,2012,145
COMUNEROS,2013,180
COMUNEROS,2014,187
COMUNEROS,2015,224
COMUNEROS,2016,246
COMUNEROS,2017,203
COMUNEROS,2018,206
COMUNEROS,2019,210
COMUNEROS,2020,173
COMUNEROS,2021,172
DIVINO NIÑO,2010,3
DIVINO NIÑO,2011,3
DIVINO NIÑO,2014,2
DIVINO NIÑO,2015,6
DIVINO NIÑO,2016,10
DIVINO NIÑO,2017,12
DIVINO NIÑO,2018,1
DIVINO NIÑO,2019,8
DIVINO NIÑO,2020,7
DIVINO NIÑO,2021,4
DON BOSCO,2010,11
DON BOSCO,2011,14
DON BOSCO,2012,23
DON BOSCO,2013,17
DON BOSCO,2014,7
DON BOSCO,2015,6
DON BOSCO,2016,5
DON BOSCO,2017,11
DON BOSCO,2018,9
DON BOSCO,2019,9
DON BOSCO,2020,11
DON BOSCO,2021,7
EL CINAL,2010,2
EL CINAL,2011,7
EL CINAL,2012,16
EL CINAL,2013,6
EL CINAL,2014,13
EL CINAL,2015,4
EL CINAL,2016,7
EL CINAL,2017,1
EL CINAL,2018,4
EL CINAL,2019,5
EL CINAL,2020,4
EL CINAL,2021,4
EL PABLÓN,2010,16
EL PABLÓN,2011,40
EL PABLÓN,2012,21
EL PABLÓN,2013,21
EL PABLÓN,2014,22
EL PABLÓN,2015,25
EL PABLÓN,2016,18
EL PABLÓN,2017,28
EL PABLÓN,2018,33
EL PABLÓN,2019,16
EL PABLÓN,2020,17
EL PABLÓN,2021,18
EL ROSAL,2010,2
EL ROSAL,2011,4
EL ROSAL,2012,4
EL ROSAL,2013,5
EL ROSAL,2014,3
EL ROSAL,2015,10
EL ROSAL,2016,5
EL ROSAL,2017,7
EL ROSAL,2018,13
EL ROSAL,2019,2
EL ROSAL,2020,3
EL ROSAL,2021,5
ESTORAQUES,2021,9
GAITAN,2010,71
GAITAN,2011,129
GAITAN,2012,130
GAITAN,2013,130
GAITAN,2014,109
GAITAN,2015,152
GAITAN,2016,147
GAITAN,2017,143
GAITAN,2018,147
GAITAN,2019,151
GAITAN,2020,131
GAITAN,2021,115
GALLINERAL,2015,1
GALLINERAL,2016,2
GALLINERAL,2017,3
GALLINERAL,2020,2
GIRARDOT,2010,162
GIRARDOT,2011,196
GIRARDOT,2012,269
GIRARDOT,2013,207
GIRARDOT,2014,189
GIRARDOT,2015,188
GIRARDOT,2016,272
GIRARDOT,2017,278
GIRARDOT,2018,254
GIRARDOT,2019,216
GIRARDOT,2020,187
GIRARDOT,2021,190
GRANADA,2010,36
GRANADA,2011,43
GRANADA,2012,49
GRANADA,2013,75
GRANADA,2014,64
GRANADA,2015,58
GRANADA,2016,74
GRANADA,2017,46
GRANADA,2018,152
GRANADA,2019,102
GRANADA,2020,104
GRANADA,2021,125
JOSE ANTONIO GALAN,2011,3
JOSE ANTONIO GALAN,2012,2
JOSE ANTONIO GALAN,2013,1
JOSE ANTONIO GALAN,2014,9
JOSE ANTONIO GALAN,2015,62
JOSE ANTONIO GALAN,2016,48
JOSE ANTONIO GALAN,2017,32
JOSE ANTONIO GALAN,2018,42
JOSE ANTONIO GALAN,2019,20
JOSE ANTONIO GALAN,2020,15
JOSE ANTONIO GALAN,2021,15
